p_DA,p_H,h_H,p_IM,E_RE,E_FC,lambda_DA_RE,lambda_IM
-7.551236137636222,10.0,154.4133708970593,7.453196921949946,9.901960784313726,10.0,20.38,29.99826
-1.2497381883927137,10.0,154.4133708970593,1.1516989727064395,9.901960784313726,2.988487778455224,25.08,31.498308
-10.0,10.0,154.4133708970593,9.901960784313726,9.901960784313726,9.89887931383452,28.88,33.999279
-10.0,10.0,154.4133708970593,9.901960784313726,9.901960784313726,10.0,32.02,33.999279
-10.0,1.5,24.54459510515657,18.352941176470587,9.852941176470587,10.0,35.35,35.348114
-10.0,10.0,154.4133708970593,8.92156862745098,8.92156862745098,7.355748828462481,29.98,32.998356
-4.636764324834379,10.0,154.4133708970593,2.774019226795163,8.137254901960784,9.002022652772135,34.46,34.458256
-8.38731360155302,10.0,154.4133708970593,5.88731360155302,7.5,7.503148790617756,30.09,30.999184
-10.0,10.0,154.4133708970593,4.46078431372549,4.46078431372549,6.502033300452181,37.95,37.948109
-3.7918250647514293,10.0,154.4133708970593,-3.6591553274054336,2.549019607843137,3.156795190079464,33.1,34.206688
-9.101234996037347,10.0,154.4133708970593,2.581627152900092,3.480392156862745,2.452966556757275,32.28,34.206688
10.0,10.0,154.4133708970593,-15.833333333333332,4.166666666666667,0.194682713853742,31.18,31.99877
-10.0,10.0,154.4133708970593,2.30392156862745,2.30392156862745,1.5451635536939041,30.1,30.098619
10.0,10.0,154.4133708970593,-17.990196078431374,2.009803921568627,1.52969007697852,29.96,29.959455
-8.675072312469728,10.0,154.4133708970593,1.9103664301167882,3.235294117647059,2.7520402763076577,29.88,29.879168
-2.9145394264824604,10.0,154.4133708970593,-3.310950769595971,3.774509803921568,3.9167390887616382,30.38,30.37829
-10.0,10.0,154.4133708970593,2.9411764705882355,2.9411764705882346,4.567040483687874,31.15,32.998356
-10.0,10.0,154.4133708970593,2.2058823529411757,2.205882352941176,2.863535365604035,32.09,32.499229
-10.0,10.0,154.4133708970593,0.6862745098039209,0.6862745098039209,0.39839982427312204,34.27,34.498402
-10.0,10.0,154.4133708970593,1.2745098039215677,1.274509803921568,0.0,37.53,37.527935
-10.0,10.0,154.4133708970593,1.617647058823529,1.617647058823529,0.0,38.99,26.999504
-10.0,10.0,154.4133708970593,2.254901960784313,2.254901960784313,0.0,38.15,26.999504
-3.130986034072752,10.0,154.4133708970593,-3.7317590639664644,3.1372549019607843,2.249810620360618,35.37,26.999504
0.20467841953078914,10.0,154.4133708970593,-4.6654627332562795,5.53921568627451,5.321811260467811,34.44,26.999504
10.0,10.0,154.4133708970593,-12.5,7.5,9.781208178972106,36.1,26.999504
