p_DA,p_H,h_H,p_IM,E_RE,E_FC,lambda_DA_RE,lambda_IM,revenue
-1.803565091141961,10.0,154.4133708970593,1.460427836240001,9.65686274509804,9.66452975050386,22.04,25.993229,307.03740237071065
-5.382690720647551,10.0,154.4133708970593,5.235631897118138,9.852941176470587,9.482092549352291,21.73,25.198378,323.7903040468873
-6.0668218014572055,10.0,154.4133708970593,5.968782585770931,9.901960784313726,10.0,15.95,15.949204,307.2582651529843
-2.551030883819549,10.0,154.4133708970593,2.4529916681332757,9.901960784313726,9.62307554624168,16.23,16.228874,307.2328032549121
-5.165860354961954,10.0,154.4133708970593,5.0188015314325405,9.852941176470587,8.918483638388125,6.45,28.998674,421.045531985327
-4.492933109441017,10.0,154.4133708970593,4.394893893754743,9.901960784313726,9.623874627343788,3.83,30.999184,427.85693245793925
-6.484543789941024,10.0,154.4133708970593,6.386504574254751,9.901960784313726,9.629263633106529,0.12,30.999184,506.02502695349034
-6.573309973556713,10.0,154.4133708970593,6.47527075787044,9.901960784313726,10.0,0.07,30.999184,509.0947197690149
3.980010018588512,10.0,154.4133708970593,-4.078049234274786,9.901960784313726,10.0,19.07,30.698103,259.5371574157631
-4.790176601417333,8.617853888284204,136.1386142609021,6.074283497446855,9.901960784313726,8.594447532620686,17.49,30.698103,374.9660202188388
2.757936440801849,10.0,154.4133708970593,-2.8559756564881233,9.901960784313726,9.116779579210837,23.98,30.999184,286.4291427695508
-5.555326790668842,10.0,154.4133708970593,5.163169927923743,9.607843137254902,8.810275549015055,8.8,30.999184,419.9939206552076
1.3756401077588851,10.0,154.4133708970593,-1.6207381469745723,9.754901960784313,9.692932692856012,17.95,30.999184,283.2779216945068
0.31416322604114727,10.0,154.4133708970593,-0.46122204957056034,9.852941176470587,7.842699437590256,19.5,30.698103,300.79428271833285
5.901155850993223,10.0,154.4133708970593,-5.999195066679497,9.901960784313726,9.783421777289712,13.74,29.99826,209.94320978579663
-0.1389736002854658,10.0,154.4133708970593,0.04093438459919163,9.901960784313726,8.327961584311701,17.42,29.99826,307.63378198929234
-7.784695231109165,10.0,154.4133708970593,7.686656015422891,9.901960784313726,10.0,20.38,29.99826,380.7609586653337
-3.3648993726742513,10.0,154.4133708970593,3.2668601569879776,9.901960784313726,2.988487778455224,25.08,31.498308,327.33563294518405
-10.0,10.0,154.4133708970593,9.901960784313726,9.901960784313726,9.89887931383452,28.88,33.999279,356.6862691470598
-6.151007908223448,5.874997342632527,97.56866538407563,10.177971349904647,9.901960784313726,10.0,32.02,33.999279,344.2257451262511
-2.9813366154610783,1.5,24.54459510515657,11.334277791931665,9.852941176470587,10.0,35.35,35.348114,344.34428435063285
-3.850133253066027,1.7669838513085239,29.807144530597675,11.004718029208483,8.92156862745098,7.355748828462481,29.98,32.998356,307.3248973417158
-1.2562006050235237,4.9686125924896825,83.95997527186985,4.424842914494626,8.137254901960784,9.002022652772135,34.46,34.458256,277.103647602071
