p_DA,p_H,h_H,p_IM,s1,s2,E_RE,E_FC,lambda_DA_RE,lambda_IM,revenue
2.903512485126574,10.0,154.4133708970593,-9.030963465518731,0.0,0.0,3.872549019607843,7.1364408236090675,46.99,26.001257,828.0998750338906
7.913942274850295,10.0,154.4133708970593,-9.923746196418922,0.0,0.0,7.990196078431373,10.0,47.07,26.500381,1036.0064331071571
-9.735478009238657,5.39230630317417,90.385738719933,12.382387392338995,0.0,0.0,8.03921568627451,7.879202103685495,47.06,26.500381,412.3008207914067
-9.30168069725942,10.0,154.4133708970593,7.536974814906479,0.0,0.0,8.235294117647058,9.683732477822602,46.98,26.500381,689.2199704075347
-9.21806930341056,10.0,154.4133708970593,7.06120655831252,0.0,0.0,7.8431372549019605,7.860171669247013,42.03,27.300585,731.8198424077784
1.859774705597303,10.0,154.4133708970593,-7.349970784028676,0.0,0.0,4.509803921568627,7.483808538532815,42.37,48.914104,645.7616443315735
-4.217430896045399,10.0,154.4133708970593,-1.8610004765036212,0.0,0.0,3.92156862745098,4.819237056790789,33.05,28.100788,734.7985544099283
-2.329461955182416,10.0,154.4133708970593,-3.503871378150917,0.0,0.0,4.166666666666667,4.386596834747013,33.05,26.001257,758.3864475653309
3.208775465582528,10.0,154.4133708970593,-7.914657818523704,0.0,0.0,5.294117647058823,5.762839936620257,37.0,25.500795,843.3748510835893
2.8123884504180054,10.0,154.4133708970593,-6.390819822967025,0.0,0.0,6.421568627450981,5.4376630754425515,33.04,25.000334,859.6289096761703
-9.58078149921154,10.0,154.4133708970593,5.659212871760559,0.0,0.0,6.078431372549019,5.525933164753736,30.18,25.000334,778.8144517072649
-8.929857024151719,10.0,154.4133708970593,7.802406043759561,0.0,0.0,8.872549019607842,8.357292997483906,29.46,25.000334,858.4693945484539
-9.236202222717628,10.0,154.4133708970593,9.089143399188217,0.0,0.0,9.852941176470587,10.0,28.63,24.00075,880.1940141840169
-10.0,10.0,154.4133708970593,9.852941176470587,0.0,0.0,9.852941176470587,10.0,27.98,22.00024,863.4472959705912
-10.0,10.0,154.4133708970593,9.852941176470587,0.0,0.0,9.852941176470587,5.425973332920632,26.93,20.500195,859.1674408235324
-9.022032669768484,10.0,154.4133708970593,8.923993454082208,0.0,0.0,9.901960784313726,8.47160885413297,24.21,17.000977,859.773421908263
-6.890998818760515,10.0,154.4133708970593,6.792959603074241,0.0,0.0,9.901960784313726,9.777526610637947,18.95,18.949299,924.6176203804193
-2.7862394381311106,10.0,154.4133708970593,2.688200222444836,0.0,0.0,9.901960784313726,10.0,4.96,4.960458,925.9951820682539
0.45045647867448046,10.0,154.4133708970593,-0.5484956943607546,0.0,0.0,9.901960784313726,10.0,0.1,0.0,926.5252710302234
-2.8947047174774436,10.0,154.4133708970593,2.7966655017911695,0.0,0.0,9.901960784313726,7.4954185438609535,0.11,0.0,926.1618078634334
-7.332349395960862,10.0,154.4133708970593,7.185290572431448,0.0,0.0,9.852941176470587,10.0,1.75,0.0,913.6486139394244
0.5378314028921758,10.0,154.4133708970593,-0.8809686577941349,0.0,0.0,9.65686274509804,10.0,20.74,19.000147,920.8963146778583
-0.35177311941633516,10.0,154.4133708970593,0.05765547235751001,0.0,0.0,9.705882352941176,8.388860003837387,25.57,19.999733,918.6384807720193
-8.882284882913503,10.0,154.4133708970593,8.539147628011541,0.0,0.0,9.65686274509804,9.427557521644287,26.99,24.399513,895.0983999511072
-8.038668432147904,10.0,154.4133708970593,7.548472353716534,0.0,0.0,9.509803921568627,10.0,27.34,25.499458,899.1849841951881
-4.415829523212411,10.0,154.4133708970593,3.6805354055653527,0.0,0.0,9.264705882352942,10.0,27.92,25.000334,895.2048795322247
-9.596598339162924,10.0,154.4133708970593,9.204441476417827,0.0,0.0,9.607843137254902,8.269912926769829,28.03,25.000334,887.6016851295179
-9.198611189326568,10.0,154.4133708970593,8.80645432658147,0.0,0.0,9.607843137254902,10.0,28.02,24.269714,882.4652677176203
-9.225845685696342,10.0,154.4133708970593,8.147414313147323,0.0,0.0,8.92156862745098,8.782425655896683,28.0,24.20013,865.3250317248843
-5.984069809357649,10.0,154.4133708970593,4.023285495632159,0.0,0.0,8.03921568627451,4.788551554705151,27.98,23.399927,853.1905390144802
-1.7240904551675045,10.0,154.4133708970593,-1.2170860154207297,0.0,0.0,7.058823529411765,5.886520054576465,28.06,24.382116,848.4271148003896
1.1913578439427264,10.0,154.4133708970593,-4.083514706687824,0.0,0.0,7.1078431372549025,8.055263497190895,28.44,24.699255,859.5026714273542
7.526314487522574,10.0,154.4133708970593,-8.31062821301277,0.0,0.0,9.215686274509805,10.0,28.88,25.700178,930.2555634157578
1.5066652131072544,10.0,154.4133708970593,-2.928233840558235,0.0,0.0,8.57843137254902,7.920369724518915,39.07,39.069462,870.9411144976523
-8.40353959125075,10.0,154.4133708970593,6.295696453995848,0.0,0.0,7.8921568627450975,10.0,46.71,24.382116,687.4532923171488
-8.554202078271977,10.0,154.4133708970593,4.77969227435041,0.0,0.0,6.2254901960784315,5.0917239294041,36.12,24.382116,734.0414577926877
-9.558951856807456,10.0,154.4133708970593,5.637383229356475,0.0,0.0,6.078431372549019,5.598513141585787,29.03,24.382116,786.4351848138597
-10.0,10.0,154.4133708970593,4.362745098039216,0.0,0.0,4.362745098039216,3.183248922049508,29.75,24.399513,735.4290811176501
-8.675093164310066,10.0,154.4133708970593,2.0574461054865374,0.0,0.0,3.382352941176471,4.6110400326455645,29.88,29.879168,728.7432194695491
-9.724634774864233,10.0,154.4133708970593,2.4207132062367815,0.0,0.0,2.6960784313725488,3.6243564887415554,27.93,27.929506,722.4805001382673
-9.5311475856418,10.0,154.4133708970593,1.6389907228967022,0.0,0.0,2.107843137254902,2.856210776780541,25.21,28.403206,732.7525858828501
-10.0,10.0,154.4133708970593,1.568627450980392,0.0,0.0,1.5686274509803921,3.920212221353972,25.34,28.403206,717.6342740098069
-10.0,10.0,154.4133708970593,1.2745098039215677,0.0,0.0,1.274509803921568,0.0,27.74,27.740831,684.4361864607873
-9.011606096432407,10.0,154.4133708970593,-0.40015860944994586,0.0,0.0,0.588235294117647,5.097463839698106,32.11,32.111172,624.2679916905834
-2.6537003731608926,10.0,154.4133708970593,-7.199240803309697,0.0,0.0,0.147058823529411,0.0,29.0,29.001352,640.7351978911427
-8.939259862768301,10.0,154.4133708970593,-0.7666224901728764,0.0,0.0,0.294117647058823,1.3784804804286168,28.1,28.100788,653.7443271661866
-6.5153693136330535,10.0,154.4133708970593,-3.190513039308123,0.0,0.0,0.294117647058823,1.3782046769584,36.17,36.171066,575.4150595895737
-9.922634624388785,10.0,154.4133708970593,0.8049875655652539,0.0,0.0,0.8823529411764699,0.0,46.5,46.501453,502.5108067939945
-7.076405313568155,10.0,154.4133708970593,-1.5020260589808654,0.0,0.0,1.42156862745098,1.126223548846402,47.85,72.029007,479.68478561160447
-6.1753234281127725,10.0,154.4133708970593,-0.7364412777695808,0.0,0.0,3.088235294117647,2.397907932306657,45.68,45.681175,610.7499482991486
-9.79679562385763,10.0,154.4133708970593,4.306599545426257,0.0,0.0,4.509803921568627,0.0,43.61,43.611084,687.057442755871
-9.623806454025956,10.0,154.4133708970593,4.6728260618690936,0.0,0.0,5.049019607843137,5.413170674304463,40.0,25.000334,658.3501794919497
-9.048915252517455,10.0,154.4133708970593,7.480287801537063,0.0,0.0,8.431372549019608,9.618530147528812,36.17,24.00075,778.7134781515401
