p_DA,p_H,p_IM,p_IM_abs,xi,h_H,E_RE,z_on,z_sb,z_off,z_su,lambda_DA_RE,lambda_IM
6.31235865096154,10.0,-7.194711592138011,9.205334031719035,0.0,154.41337089705934,9.117647058823529,1.0,0.0,0.0,0.0,53.34,46.777542
-3.8352205096123475,10.0,3.1489459998084275,9.205334031719035,0.0,154.41337089705934,9.313725490196079,1.0,0.0,0.0,0.0,52.81,46.274052
7.161529244070021,10.0,-7.749764538187669,9.205334031719035,0.0,154.41337089705934,9.411764705882351,1.0,0.0,0.0,0.0,51.79,46.274052
8.51905952191511,10.0,-9.205334031719032,9.205334031719035,0.0,154.41337089705934,9.313725490196079,1.0,0.0,0.0,0.0,51.04,44.495777
1.221508816158499,10.0,-1.90778332596242,9.205334031719035,0.0,154.41337089705934,9.313725490196079,1.0,0.0,0.0,0.0,45.43,44.262779
6.901506971865551,10.0,-7.538761873826335,9.205334031719035,0.0,154.41337089705934,9.362745098039216,1.0,0.0,0.0,0.0,43.96,43.954792
-9.49945167877786,10.0,9.205334031719037,9.205334031719035,0.0,154.41337089705934,9.705882352941176,1.0,0.0,0.0,0.0,31.41,31.40642
-9.499451678777863,10.0,9.205334031719037,9.205334031719035,0.0,154.41337089705934,9.705882352941176,1.0,0.0,0.0,0.0,26.9,26.899128
-5.592215976914822,10.0,5.053000290640313,9.205334031719035,0.0,154.41337089705934,9.46078431372549,1.0,0.0,0.0,0.0,25.12,25.119511
-9.785514185521818,10.0,7.138455361992406,9.205334031719035,0.0,154.41337089705934,7.352941176470589,1.0,0.0,0.0,0.0,24.12,24.11923
-2.669155253030505,10.0,-0.664178080302829,9.205334031719035,0.0,154.41337089705934,6.666666666666666,1.0,0.0,0.0,0.0,22.04,22.039663
-0.4641353623263438,10.0,-2.86919797100699,9.205334031719035,0.0,154.41337089705934,6.666666666666666,1.0,0.0,0.0,0.0,18.37,18.369287
-5.807816554459504,10.0,2.8176204760281323,9.205334031719035,0.0,154.41337089705925,7.009803921568627,1.0,0.0,0.0,0.0,22.09,22.089209
-7.298849852450093,10.0,4.553751813234407,9.205334031719035,0.0,154.41337089705934,7.254901960784314,1.0,0.0,0.0,0.0,23.35,23.349268
-9.560794097270994,10.0,4.707852920800406,9.205334031719035,0.0,154.41337089705934,5.147058823529411,1.0,0.0,0.0,0.0,48.22,45.601841
-2.0857925208841355,10.0,-4.237736890880571,9.205334031719035,0.0,154.41337089705934,3.676470588235294,1.0,0.0,0.0,0.0,49.99,45.601841
1.166118345444521,10.0,-9.205334031719032,9.205334031719035,0.0,154.41337089705934,1.96078431372549,1.0,0.0,0.0,0.0,50.73,46.108009
-9.71174224985839,10.0,1.623506955740741,9.205334031719035,0.0,154.41337089705934,1.911764705882352,1.0,0.0,0.0,0.0,50.93,46.108009
-9.911912451642705,10.0,1.6275987261525082,9.205334031719035,0.0,154.41337089705934,1.715686274509804,1.0,0.0,0.0,0.0,51.02,46.108009
-6.2579151087415115,10.0,-1.5852221461604494,9.205334031719035,0.0,154.41337089705928,2.156862745098039,1.0,0.0,0.0,0.0,51.36,51.359821
-7.658188633690391,10.0,-0.47906626827039434,9.205334031719035,0.0,154.41337089705934,1.8627450980392148,1.0,0.0,0.0,0.0,51.74,47.121681
