p_DA,p_H,p_IM,h_H,E_RE,z_on,z_sb,z_off,z_su,lambda_DA_RE,lambda_IM
10.0,10.0,-13.872549019607842,154.41337089705934,6.127450980392157,1.0,0.0,0.0,0.0,47.97,47.96529
10.0,10.0,-13.088235294117647,154.41337089705934,6.911764705882353,1.0,0.0,0.0,0.0,47.07,47.065441
-10.0,10.0,9.166666666666666,154.41337089705934,9.166666666666666,1.0,0.0,0.0,0.0,46.94,48.286667
-9.999999999999995,10.0,8.676470588235288,154.41337089705934,8.676470588235293,1.0,0.0,0.0,0.0,47.0,48.424591
10.0,10.0,-10.833333333333334,154.41337089705934,9.166666666666666,1.0,0.0,0.0,0.0,46.91,46.904751
-9.999999999999995,10.0,9.607843137254896,154.41337089705934,9.607843137254902,1.0,0.0,0.0,0.0,50.87,52.494007
10.0,10.0,-10.588235294117649,154.41337089705934,9.411764705882351,1.0,0.0,0.0,0.0,53.99,53.984386
10.0,10.0,-11.127450980392158,154.41337089705934,8.872549019607842,1.0,0.0,0.0,0.0,54.44,54.434311
10.0,10.0,-10.931372549019608,154.41337089705934,9.068627450980392,1.0,0.0,0.0,0.0,54.18,48.788815
10.0,10.0,-10.833333333333334,154.41337089705934,9.166666666666666,1.0,0.0,0.0,0.0,53.9,48.788815
10.0,10.0,-11.225490196078432,154.41337089705934,8.774509803921568,1.0,0.0,0.0,0.0,53.01,48.286667
10.0,10.0,-11.07843137254902,154.41337089705934,8.92156862745098,1.0,0.0,0.0,0.0,51.74,46.777542
10.0,10.0,-14.264705882352942,154.41337089705934,5.735294117647058,1.0,0.0,0.0,0.0,51.6,45.770565
10.0,10.0,-16.91176470588235,154.41337089705934,3.088235294117647,1.0,0.0,0.0,0.0,51.41,44.995247
10.0,10.0,-15.049019607843137,154.41337089705934,4.950980392156863,1.0,0.0,0.0,0.0,51.69,44.995247
10.0,10.0,-13.186274509803921,154.41337089705934,6.813725490196079,1.0,0.0,0.0,0.0,52.59,46.777542
10.0,10.0,-10.882352941176471,154.41337089705934,9.117647058823529,1.0,0.0,0.0,0.0,53.34,46.777542
10.0,10.0,-10.686274509803921,154.41337089705934,9.313725490196079,1.0,0.0,0.0,0.0,52.81,46.274052
10.0,10.0,-10.588235294117649,154.41337089705934,9.411764705882351,1.0,0.0,0.0,0.0,51.79,46.274052
10.0,10.0,-10.686274509803921,154.41337089705934,9.313725490196079,1.0,0.0,0.0,0.0,51.04,44.495777
10.0,10.0,-10.686274509803921,154.41337089705934,9.313725490196079,1.0,0.0,0.0,0.0,45.43,44.262779
10.0,10.0,-10.637254901960784,154.41337089705934,9.362745098039216,1.0,0.0,0.0,0.0,43.96,43.954792
10.0,10.0,-10.294117647058824,154.41337089705934,9.705882352941176,1.0,0.0,0.0,0.0,31.41,31.40642
10.0,10.0,-10.294117647058824,154.41337089705934,9.705882352941176,1.0,0.0,0.0,0.0,26.9,26.899128
10.0,10.0,-10.53921568627451,154.41337089705934,9.46078431372549,1.0,0.0,0.0,0.0,25.12,25.119511
10.0,10.0,-12.647058823529411,154.41337089705934,7.352941176470589,1.0,0.0,0.0,0.0,24.12,24.11923
10.0,10.0,-13.333333333333334,154.41337089705934,6.666666666666666,1.0,0.0,0.0,0.0,22.04,22.039663
10.0,10.0,-13.333333333333334,154.41337089705934,6.666666666666666,1.0,0.0,0.0,0.0,18.37,18.369287
10.0,10.0,-12.990196078431373,154.41337089705934,7.009803921568627,1.0,0.0,0.0,0.0,22.09,22.089209
10.0,10.0,-12.745098039215687,154.41337089705934,7.254901960784314,1.0,0.0,0.0,0.0,23.35,23.349268
10.0,10.0,-14.852941176470589,154.41337089705934,5.147058823529411,1.0,0.0,0.0,0.0,48.22,45.601841
10.0,10.0,-16.323529411764707,154.41337089705934,3.676470588235294,1.0,0.0,0.0,0.0,49.99,45.601841
10.0,10.0,-18.03921568627451,154.41337089705934,1.96078431372549,1.0,0.0,0.0,0.0,50.73,46.108009
10.0,10.0,-18.08823529411765,154.41337089705934,1.911764705882352,1.0,0.0,0.0,0.0,50.93,46.108009
10.0,10.0,-18.284313725490197,154.41337089705934,1.715686274509804,1.0,0.0,0.0,0.0,51.02,46.108009
10.0,10.0,-17.84313725490196,154.41337089705934,2.156862745098039,1.0,0.0,0.0,0.0,51.36,51.359821
10.0,10.0,-18.137254901960784,154.41337089705934,1.8627450980392148,1.0,0.0,0.0,0.0,51.74,47.121681
10.0,10.0,-18.235294117647058,154.41337089705934,1.7647058823529411,1.0,0.0,0.0,0.0,51.92,47.121681
10.0,10.0,-17.107843137254903,154.41337089705934,2.8921568627450975,1.0,0.0,0.0,0.0,53.22,47.121681
10.0,10.0,-17.892156862745097,154.41337089705934,2.107843137254902,1.0,0.0,0.0,0.0,55.26,47.998768
10.0,10.0,-18.97058823529412,154.41337089705934,1.029411764705882,1.0,0.0,0.0,0.0,55.87,49.999329
10.0,10.0,-19.264705882352942,154.41337089705934,0.735294117647058,1.0,0.0,0.0,0.0,60.16,60.158813
10.0,10.0,-19.313725490196077,154.41337089705934,0.6862745098039209,1.0,0.0,0.0,0.0,58.01,58.009613
10.0,10.0,-19.46078431372549,154.41337089705934,0.539215686274509,1.0,0.0,0.0,0.0,52.75,47.627846
10.0,10.0,-19.85294117647059,154.41337089705934,0.147058823529411,1.0,0.0,0.0,0.0,51.9,46.614174
10.0,10.0,-19.901960784313726,154.41337089705934,0.09803921568627401,1.0,0.0,0.0,0.0,51.13,45.094337
10.0,10.0,-20.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,50.21,44.588169
10.0,10.0,-19.950980392156865,154.41337089705934,0.049019607843137004,1.0,0.0,0.0,0.0,50.29,43.753933
10.0,10.0,-19.950980392156865,154.41337089705934,0.049019607843137004,1.0,0.0,0.0,0.0,49.03,43.24509
10.0,10.0,-20.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,48.81,42.396122
10.0,10.0,-20.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,48.66,40.996799
10.0,10.0,-20.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,47.82,40.996799
10.0,10.0,-20.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,48.72,40.996799
10.0,10.0,-20.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,49.38,40.996799
10.0,10.0,-20.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,49.65,43.24509
10.0,10.0,-20.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,50.44,43.753933
10.0,10.0,-20.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,53.4,44.896156
10.0,10.0,-20.0,154.41337089705934,0.0,1.0,0.0,0.0,0.0,52.35,47.99609
-10.0,2.8231500736095025,7.1768499263904975,49.13923402718213,0.0,1.0,0.0,0.0,0.0,52.77,97.639229
-10.0,2.8231500736095025,7.1768499263904975,49.13923402718213,0.0,1.0,0.0,0.0,0.0,52.86,93.73452
-9.999999999999995,10.0,0.196078431372543,154.41337089705934,0.19607843137254902,1.0,0.0,0.0,0.0,52.44,73.648552
